ordem,data,hora,dia,views,curtidas,comentarios,url,origem_views
1,01/09/2026,14:00:22,terça-feira,4236,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJewGAGhC/,card
2,01/09/2026,14:00:13,terça-feira,5180,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJb2ygaSg/,card
3,01/09/2026,13:59:09,terça-feira,59400,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJUnJAxT_/,card
4,01/09/2026,13:58:29,terça-feira,70500,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJQ-jAPWN/,card
5,01/09/2026,13:58:16,terça-feira,2308,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJOA-gPxo/,card
6,01/09/2026,13:57:11,terça-feira,2091,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJHXZg5qk/,card
7,01/09/2026,13:56:30,terça-feira,113000,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwJCHWgHqV/,card
8,01/09/2026,13:55:52,terça-feira,1699,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwI9TfxSGX/,card
9,01/09/2026,13:55:12,terça-feira,174000,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwI4tlgPlu/,card
10,01/09/2026,13:54:26,terça-feira,1570,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIyzOANYA/,card
11,01/09/2026,13:53:52,terça-feira,8565,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIuqxgjv7/,card
12,01/09/2026,13:53:52,terça-feira,38800,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIs3oAbP6/,card
13,01/09/2026,13:53:41,terça-feira,1148,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIprxgLzh/,card
14,01/09/2026,13:52:29,terça-feira,2355,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIgIzgsrq/,card
15,01/09/2026,13:51:35,terça-feira,61600,,,https://www.instagram.com/carla_ferreiratgs/reel/DcwIdC9gF-A/,card
