ordem,data,hora,dia,views,curtidas,comentarios,url,origem_views
1,02/09/2026,01:05:47,quarta-feira,998,,,https://www.instagram.com/reindeer.7441086/reel/DcxVndmuLLE/,card
2,02/09/2026,01:05:29,quarta-feira,723,,,https://www.instagram.com/reindeer.7441086/reel/DcxVl3NOzyZ/,card
3,02/09/2026,01:05:16,quarta-feira,1076,,,https://www.instagram.com/reindeer.7441086/reel/DcxVeSWuXNo/,card
4,02/09/2026,01:03:59,quarta-feira,1381,,,https://www.instagram.com/reindeer.7441086/reel/DcxVbJmudYW/,card
5,02/09/2026,01:03:51,quarta-feira,1353,,,https://www.instagram.com/reindeer.7441086/reel/DcxVZcGOLTc/,card
6,02/09/2026,01:03:24,quarta-feira,613,,,https://www.instagram.com/reindeer.7441086/reel/DcxVXPuOIU1/,card
7,02/09/2026,01:03:10,quarta-feira,898,,,https://www.instagram.com/reindeer.7441086/reel/DcxVVW2O4gi/,card
8,02/09/2026,01:03:01,quarta-feira,1009,,,https://www.instagram.com/reindeer.7441086/reel/DcxVNJEuDlU/,card
9,02/09/2026,01:01:37,quarta-feira,690,,,https://www.instagram.com/reindeer.7441086/reel/DcxVJX8uyEi/,card
10,02/09/2026,01:01:08,quarta-feira,1014,,,https://www.instagram.com/reindeer.7441086/reel/DcxVF6ju5Wa/,card
11,02/09/2026,01:00:41,quarta-feira,563,,,https://www.instagram.com/reindeer.7441086/reel/DcxVB2_upN4/,card
12,01/09/2026,22:50:39,terça-feira,6192,,,https://www.instagram.com/reindeer.7441086/reel/DcxGKSZssss/,card
13,01/09/2026,22:50:22,terça-feira,2558,,,https://www.instagram.com/reindeer.7441086/reel/DcxGFR-Mcex/,card
14,01/09/2026,22:49:39,terça-feira,2318,,,https://www.instagram.com/reindeer.7441086/reel/DcxGC5TMlge/,card
15,01/09/2026,22:49:22,terça-feira,1834,,,https://www.instagram.com/reindeer.7441086/reel/DcxGAJOMPRf/,card
16,01/09/2026,22:49:01,terça-feira,1747,,,https://www.instagram.com/reindeer.7441086/reel/DcxF0iqsC8u/,card
17,01/09/2026,22:46:46,terça-feira,1172,,,https://www.instagram.com/reindeer.7441086/reel/DcxFtEgspJ0/,card
18,01/09/2026,22:46:28,terça-feira,3662,,,https://www.instagram.com/reindeer.7441086/reel/DcxFqKeMvoN/,card
