ordem,data,hora,dia,views,curtidas,comentarios,url,origem_views
1,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyQOCcxYtm,não identificado
2,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyQI5Oxc6P,não identificado
3,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyP_ubRqka,não identificado
4,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPnYvRVtf,não identificado
5,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPcwcRMY_,não identificado
6,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPTHxxJSp,não identificado
7,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPPZxRXYW,não identificado
8,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPI1Jx3Fu,não identificado
9,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPDpBRhsi,não identificado
10,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyPARORfMb,não identificado
11,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyO7Mfx7VH,não identificado
12,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyO2pYx1_m,não identificado
13,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyOy9_RQe-,não identificado
14,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyOo69RomK,não identificado
15,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyOjvHxLQd,não identificado
16,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyOMCyRwYs,não identificado
17,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcyOHqgR_70,não identificado
18,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw9VfuN3g5,não identificado
19,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw9RQrtyow,não identificado
20,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw9O0ot0Yg,não identificado
21,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw9Jl4tBoO,não identificado
22,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw9Cudt71n,não identificado
23,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw88SJNou5,não identificado
24,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw82x_tikT,não identificado
25,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw2JgaNnfQ,não identificado
26,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw0b65tBxN,não identificado
27,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw0Ww_NbZ0,não identificado
28,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw0RczNiZr,não identificado
29,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dcw0PIltFz5,não identificado
30,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcunyGNtO65,não identificado
31,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcuneLRtmsZ,não identificado
32,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DculTPPhhNj,não identificado
33,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DculKvRtMvQ,não identificado
34,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DculDTZtjwq,não identificado
35,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcukdUKNTI7,não identificado
36,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcukTn_tTWy,não identificado
37,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DcuB0yiirSy,não identificado
38,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctwxKaigKL,não identificado
39,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctwpCIiMnK,não identificado
40,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctwPAmibqz,não identificado
41,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctrNCxJWdC,não identificado
42,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctrEJOJ6oe,não identificado
43,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dctqwkepcvd,não identificado
44,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dctqov1pyAz,não identificado
45,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctqcufpOXq,não identificado
46,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctqHdvJpGl,não identificado
47,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dctp6c1Jxj5,não identificado
48,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctpnY5pDg5,não identificado
49,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/Dctpdf7p2Pw,não identificado
50,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctpUOWpX_M,não identificado
51,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctpMSmJsAj,não identificado
52,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctonBei_PX,não identificado
53,,,,0,0,0,https://www.instagram.com/vivian_gaspariny019/reel/DctoTX8q4Sc,não identificado
